 Name,Launch Date,Launcher Type,Payload,Orbit Type,Application,Outcome
GSLV-F10 / EOS-03,"Aug 12, 2021",GSLV,EOS-03,GTO,Earth Observation,Launch unsuccessful
PSLV-C51/Amazonia-1,"Feb 28, 2021",PSLV-DL,,,Student Satellite,Successful
PSLV-C51/Amazonia-1,"Feb 28, 2021",PSLV-DL,,,Student Satellite,Successful
PSLV-C50/CMS-01,"Dec 17, 2020",PSLV-XL,CMS-01,GSO,Communication,Successful
PSLV-C49/EOS-01,"Nov 07, 2020",PSLV-DL,EOS-01,LEO,"Disaster Management System, Earth Observation",Successful
PSLV-C48/RISAT-2BR1,"Dec 11, 2019",PSLV-QL,RISAT-2BR1,LEO,"Disaster Management System, Earth Observation",Successful
PSLV-C47 / Cartosat-3 Mission,"Nov 27, 2019",PSLV-XL,Cartosat-3,SSPO,Earth Observation,Successful
GSLV-Mk III - M1 / Chandrayaan-2 Mission,"Jul 22, 2019",GSLV-MK-III,Chandrayaan2,Lunar,Planetary Observation,Successful
PSLV-C46 Mission,"May 22, 2019",PSLV-CA,RISAT-2B,LEO,"Disaster Management System, Earth Observation",Successful
PSLV-C45/EMISAT MISSION,"Apr 01, 2019",PSLV-QL,EMISAT,SSPO,,Successful
PSLV-C44,"Jan 24, 2019",PSLV-DL,Microsat-R,SSPO,,Successful
PSLV-C44,"Jan 24, 2019",PSLV-DL,Microsat-R,,Student Satellite,Successful
GSLV-F11 / GSAT-7A Mission,"Dec 19, 2018",GSLV,GSAT-7A,,Communication,Successful
PSLV-C43 / HysIS Mission,"Nov 29, 2018",PSLV,HysIS,SSPO,Earth Observation,Successful
GSLV Mk III-D2 / GSAT-29 Mission,"Nov 14, 2018",GSLV-MK-III,GSAT-29,GTO,Communication,Successful
PSLV-C41/IRNSS-1I,"Apr 12, 2018",PSLV-XL,IRNSS-1I,GSO,Navigation,Successful
GSLV-F08/GSAT-6A Mission,"Mar 29, 2018",GSLV,GSAT-6A,GSO,Communication,Successful
PSLV-C40/Cartosat-2 Series Satellite Mission,"Jan 12, 2018",PSLV-XL,Cartosat-2 Series Satellite,SSPO,Experimental,Successful
PSLV-C40/Cartosat-2 Series Satellite Mission,"Jan 12, 2018",PSLV-XL,Cartosat-2 Series Satellite,SSPO,Earth Observation,Successful
PSLV-C40/Cartosat-2 Series Satellite Mission,"Jan 12, 2018",PSLV-XL,Cartosat-2 Series Satellite,SSPO,Experimental,Successful
PSLV-C39/IRNSS-1H Mission,"Aug 31, 2017",PSLV-XL,IRNSS-1H,,Navigation,Launch Unsuccessful
PSLV-C38 / Cartosat-2 Series Satellite,"Jun 23, 2017",PSLV-XL,Cartosat-2 Series Satellite,SSPO,Student Satellite,Successful
PSLV-C38 / Cartosat-2 Series Satellite,"Jun 23, 2017",PSLV-XL,Cartosat-2 Series Satellite,SSPO,Earth Observation,Successful
GSLV Mk III-D1/GSAT-19 Mission,"Jun 05, 2017",GSLV-MK-III,GSAT-19,GSO,Communication,Successful
GSLV-F09 / GSAT-9,"May 05, 2017",GSLV,GSAT-9,GSO,Communication,Successful
PSLV-C37 / Cartosat -2 Series Satellite,"Feb 15, 2017",PSLV-XL,Cartosat -2 Series Satellite,SSPO,Experimental,Successful
PSLV-C37 / Cartosat -2 Series Satellite,"Feb 15, 2017",PSLV-XL,Cartosat -2 Series Satellite,SSPO,Experimental,Successful
PSLV-C37 / Cartosat -2 Series Satellite,"Feb 15, 2017",PSLV-XL,Cartosat -2 Series Satellite,SSPO,Earth Observation,Successful
PSLV-C36 / RESOURCESAT-2A,"Dec 07, 2016",PSLV-XL,RESOURCESAT-2A,SSPO,Earth Observation,Successful
PSLV-C35 / SCATSAT-1,"Sep 26, 2016",PSLV,SCATSAT-1,SSPO,Student Satellite,Successful
PSLV-C35 / SCATSAT-1,"Sep 26, 2016",PSLV,SCATSAT-1,SSPO,Student Satellite,Successful
PSLV-C35 / SCATSAT-1,"Sep 26, 2016",PSLV,SCATSAT-1,SSPO,Climate & Environment,Successful
GSLV-F05 / INSAT-3DR,"Sep 08, 2016",GSLV-MK-II,INSAT-3DR,GSO,"Climate & Environment, Disaster Management System",Successful
PSLV-C34 / CARTOSAT-2 Series Satellite,"Jun 22, 2016",PSLV-XL,CARTOSAT-2 Series Satellite,SSPO,Student Satellite,Successful
PSLV-C34 / CARTOSAT-2 Series Satellite,"Jun 22, 2016",PSLV-XL,CARTOSAT-2 Series Satellite,SSPO,Earth Observation,Successful
PSLV-C34 / CARTOSAT-2 Series Satellite,"Jun 22, 2016",PSLV-XL,CARTOSAT-2 Series Satellite,SSPO,Student Satellite,Successful
PSLV-C33/IRNSS-1G,"Apr 28, 2016",PSLV-XL,IRNSS-1G,GEO,Navigation,Successful
